o	I	o
dObar	Agpmsnn	dobar
dAn	Ncmsn	dan
.	Z	.

zdrAvo	Rgp	zdravo
sIne	Ncmsv	sin
.	Z	.

pa	Cc	pa
dObro	Rgp	dobro
•	X	•
hAjde	I	hajde
da	Cs	da
prIčamo	Vmr1p	pričati
kakvO	Pi-nsn	kakav
Ima	Vmr3s	imati
takvO	Pd-nsn	takav
((laugh))	X	((laugh))
.	Z	.

dObro	Rgp	dobro
•	X	•
sEdnete	Vmr2p	sesti
jA	Pp1-sn	ja
ḱu	Var1s	hteti
da	Cs	da
otvOrim	Vmr1s	otvoriti
vrAta	Ncnpn	vrata
da	Cs	da
i/	X	i/
da	Cs	da
dOǵe	Vmr3s	doći
toplOta	Ncfsn	toplota
.	Z	.

((XXX))	X	((xxx))
•	X	•
zatvOr	Ncmsn	zatvor
vrAta	Ncnpn	vrata
pa	Cc	pa
sEdi	Vmr3s	sedeti
.	Z	.

pa	Cc	pa
kakvO	Pi-nsn	kakav
da	Cs	da
znAm	Vmr1s	znati
da	Cs	da
im	Pp3-pd	oni
prIčaaam	Vmr3s	pričaaamti
.	Z	.

prinEsi	Vmm2s	prineti
mi	Pp1-sd	ja
činIju	Px--sa	činIju
.	Z	.

Odi	Sg	od
tI	Pp2-sd	ti
mOšo	Rgp	mošo
ovAm	Rgp	ovamo
((noise))	X	((noise))
.	Z	.

pa	Cc	pa
ne	Qz	ne
bI	Vaa3s	biti
mi	Pp1-sd	ja
dušA	Ncmsn	duša
nIkada	Rgp	nikada
tI	Pp2-sn	ti
•	X	•
se	Px--sa	sebe
mAno	Vmp-sn	mati
da	Cs	da
dOdžeš	Qr	dOdžeš
.	Z	.

jA	Pp1-sn	ja
ne	Qz	ne
Idem	Vmr1s	ići
nIgde	Rgp	nigde
.	Z	.

ne	Qz	ne
mOgu	Vmr1s	moći
nIgde	Rgp	nigde
.	Z	.

takO	Rgp	tako
je	Var3s	biti
.	Z	.

a	Cc	a
tI	Pp2-sn	ti
znAš	Vmr2s	znati
dragIšu	Npmsay	Dragiša
sIne	Ncmsv	sin
.	Z	.

((laugh))	X	((laugh))
((XXX))	X	((xxx))
.	Z	.

((NT))	X	((nt))
.	Z	.

dObro	Rgp	dobro
sIne	Ncmsv	sin
kakvO	Pi-nsn	kakav
ḱe	Var3s	hteti
me	Pp1-sa	ja
pitUješ	Ncfsv	pitujea
jA	Pp1-sn	ja
kakvO	Pi-nsn	kakav
znAm	Vmr1s	znati
da/	X	da/
.	Z	.

pa	Cc	pa
nE	Qz	ne
znam	Vmr1s	znati
.	Z	.

pa	Cc	pa
kakO	Cs	kako
se	Px--sa	sebe
živElo	Vmp-sn	živeti
•	X	•
nEkada	Rgp	nekada
•	X	•
bIlo	Vmp-sn	biti
nemAnštine	Px--sa	nemAnštine
bilO/	Vmp-sn	bilti
.	Z	.

jA	Pp1-sn	ja
bAš	Qo	baš
kad	Cs	kad
sam	Var1s	biti
•	X	•
bilA	Vmp-sf	biti
•	X	•
((?))	X	((?))
devojčIšte/	Cs	devojčIšte/
kad	Cs	kad
sam	Var1s	biti
se	Px--sa	sebe
udavAla	Vmp-sf	udavati
nE	Qz	ne
imAlo	Vmp-sn	imati
nIšta	Pi3n-a	ništa
.	Z	.

tAd	Rgp	tad
nEma	Vmr3s	imati
••	X	••
štO	Cs	što
da	Cs	da
se	Pxsa	sebe
kUpi/	Vmr3s	kupi/ti
nEmaa	Pd-nsn	nEmaa
((?))	X	((?))
••	X	••
tekstIl/	Npmsn	tekstIl/
nEma	Vmr3s	imati
odElo	Vmp-sn	odeti
nEma	Vmr3s	imati
nIšta	Pi3n-a	ništa
.	Z	.

bIlo	Vcp-sn	biti
siromAština	Agpnsny	siromaštini
.	Z	.

sƏg	Rgp	sad
•	X	•
drUgo/	Npmsn	drUgo/
sƏg	Rgp	sad
Ima	Vmr3s	imati
svE	Pi-nsn	sav
sAmo	Rgp	samo
zdrAvje	Vmr3p	zdravjiti
nEma	Vmr3s	imati
.	Z	.

pa	Cc	pa
i	Cc	i
mOša	Npmsn	Moša
znAe	Vmr3s	znati
kakvO	Pi-nsn	kakav
je	Var3s	biti
bilO	Vmp-sn	biti
•	X	•
nemAnje	Ncnsn	nemanje
.	Z	.

((laugh))	X	((laugh))
pa	Cc	pa
tOlko	Rgp	toliko
.	Z	.

bilO	Vcp-sn	biti
nemAnje	Ncnsn	nemanje
.	Z	.

pa	Cc	pa
kakO	Cs	kako
Oḱeš	Ncfpn	oḱea
jA	Pp1-sn	ja
nIšta	Pi3n-a	ništa
nEam/	Vcr3s	neambiti
nEmam	Vmr1s	imati
kakvO	Pi-nsn	kakav
drUgo	Mlonsa	drugi
da/	X	da/
da	Cs	da
ti	Pp2-sd	ti
prIčam	Vmr1s	pričati
kak/	X	kak/
.	Z	.

kakvO	Pi-nsn	kakav
ḱu	Var1s	hteti
da/	X	da/
da	Cs	da
prIčam	Vmr1s	pričati
nE	Qz	ne
znam	Vmr1s	znati
.	Z	.

pa	Cc	pa
kakvO	Pi-nsn	kakav
((noise))	X	((noise))
.	Z	.

kakvO	Pi-nsn	kakav
znAm	Vmr1s	znati
jA	Pp1-sn	ja
((?))	X	((?))
ḱu	Var1s	hteti
da	Cs	da
kAžem/	Ncmsn	kažem/
nE	Qz	ne
znam	Vmr1s	znati
.	Z	.

e	I	e
tOj	Pd-nsn	taj
((XXX))	X	((xxx))
.	Z	.

mA	I	ma
kakvO	Pi-nsn	kakav
ḱe	Var3s	hteti
da	Cs	da
snImaš	Vmr2s	snimati
.	Z	.

kakvO	Pi-nsn	kakav
znAM	Vmr1s	znati
jA	Pp1-sn	ja
da	Cs	da
prIčam	Vmr1s	pričati
vIše	Rgc	mnogo
jA	Pp1-sn	ja
.	Z	.

sam	Var1s	biti
bAba	Ncfsn	baba
ostarEla	Vmp-sf	ostariti
((laugh))	X	((laugh))
.	Z	.

((XXX))	X	((xxx))
.	Z	.

evE	I	evo
kolAči	Ncmpn	kolač
((noise))	X	((noise))
.	Z	.

iz	Sg	iz
slAtinu	Ncfsa	slatina
((noise))	X	((noise))
.	Z	.

pa	Cc	pa
Isto	Agpnsny	isti
takO	Rgp	tako
bilO	Vcp-sn	biti
.	Z	.

Isto	Rgp	isto
takvO	Pd-nsn	takav
bilO	Vmp-sn	biti
nemAnje	Ncnsn	nemanje
ti	Pp2-sd	ti
kAžem	Vmr1s	kazati
.	Z	.

kad	Cs	kad
sam	Var1s	biti
se	Px--sa	sebe
bAš	Rgp	baš
udavAla	Vmp-sf	udavati
nE	Qz	ne
imAlo	Vmp-sn	imati
nIšta	Pi3n-a	ništa
.	Z	.

nE	Qz	ne
i/	X	i/
nIgde/	Ncnsn	nigde/
tAčkice	Ncfpn	tačkica
nekavE	Npfsg	nekavE
.	Z	.

nEma	Vmr3s	imati
kakO	Cs	kako
sƏg	Rgp	sad
də	Vmr3s	dati
•	X	•
kupUju	Vmr3p	kupovati
odEla	Ncmsg	odel
kakvA	Pipn	kakav
((?))	X	((?))
vOle	Vmr3p	voleti
ih	Pp3a	oni
kakvO	Pi-nsn	kakav
onOj	Pd-nsn	onaj
.	Z	.

bIlo	Vapn	biti
si	Px--sd	sebe
no/	Vmp-sn	nti
takvA	Pdsn	takav
bilA/	Ncmsn	bila/
.	Z	.

vrEme	Ncnsn	vreme
takvO	Pd-nsn	takav
bilO/	Pi-nsn	bilO/
takvA	Pdsn	takav
držAva/	Ncmsn	država/
takvO	Pd-nsn	takav
•	X	•
bilO/	Pi-nsn	bilO/
sƏg	Rgp	sad
se	Px--sa	sebe
okrenUlo	Vmp-sn	okrenuti
svE	Pi-nsn	sav
••	X	••
drUkše	Ncnsn	drugačije
.	Z	.

sƏg	Rgp	sad
i	Cc	i
imA	Vmr3s	imati
svE	Pi-nsn	sav
sAMo	Rgp	samo
el	Qq	jel
ti	Pp2-sd	ti
kAžem	Vmr1s	kazati
samO	Rgp	samo
nEma	Vmr3s	imati
zdrAVlja	Ncnpa	zdravlje
drugO	Agpnsny	drugi
Ima	Vmr3s	imati
svE	Pi-nsn	sav
.	Z	.

pa	Cc	pa
i	Cc	i
tO	Pd-nsn	taj
je	Var3s	biti
bilO	Vmp-sn	biti
mAnje	Rgc	malo
nE	Var3s	biti
bIlo	Vmp-sn	biti
kAko	Cs	kako
sƏg	Cs	sƏg
što	Cs	što
se	Pxsa	sebe
prAvi	Vmr3s	praviti
u	Sa	u
hotEli	Ncmpn	hotel
u	Sl	u
dOmovi	Ncmpn	dom
.	Z	.

nego	Cc	nego
po	Sl	po
kUḱe	Npmsl	ki
.	Z	.

u	Sl	u
kUḱe	Npmsl	ki
((?))	X	((?))
i	Cc	i
dOl	Rgp	dole
u	Sa	u
slAtinu	Ncfsa	slatina
•	X	•
u	Sa	u
kUḱu	Ncfsa	kuća
i	Cc	i
((?))	X	((?))
.	Z	.

ovdE	Rgp	ovde
je	Var3s	biti
mOša	Npmsn	Moša
bIl	Vmp-sm	biti
svat/	Qr	svat/
.	Z	.

((laugh))	X	((laugh))
u	Sl	u
svAtove/	Npmsl	svAtove
.	Z	.

((laugh))	X	((laugh))
.	Z	.

e	I	e
.	Z	.

((laugh))	X	((laugh))
.	Z	.

((laugh))	X	((laugh))
da	Cs	da
.	Z	.

bilO	Vcp-sn	biti
prOsto/	Agpmsnn	prosto/
svE	Pi-nsn	sav
je	Var3s	biti
bilO	Vmp-sn	biti
mm/	Agpnsny	mmi
mAnje	Rgc	malo
bilO	Vmp-sn	biti
i	Cc	i
((?))	X	((?))
.	Z	.

nEsu	Ncmsl	nes
imALi	Vmp-pm	imati
ovAKvi	Pd-mpn	ovakav
pOkloni	Ncmpn	poklon
.	Z	.

nE	Qz	ne
imalO	Vmp-sn	imati
••	X	••
ovAkvo	Pd-nsn	ovakav
•••	X	•••
•	X	•
mogUḱnosti	Cs	mogUḱnosti
kao	Cs	kao
sƏg	Cs	sƏg
