dObar	Agpmsnn	dobar
dAn	Ncmsn	dan
.	Z	.

((NT))	X	((nt))
.	Z	.

((NT))	X	((nt))
.	Z	.

dEco	Ncfsv	deca
brE	I	bre
i	Cc	i
jA	Pp1-sn	ja
imAm	Vmr1s	imati
dEcu	Ncnpa	dete
evE	I	evo
stolIce	Ncfpa	stolica
.	Z	.

evE	I	evo
evO	I	evo
je	Var3s	biti
ovdE	Rgp	ovde
stolIca	Ncfsn	stolica
.	Z	.

el	Qq	jel
očeš	Var2s	očeš
i	Cc	i
tI	Pp2-sd	ti
sAd	Rgp	sad
.	Z	.

i	Cc	i
•	X	•
i	Cc	i
jA	Pp1-sn	ja
Imam	Vmr1s	imati
dEcu	Ncnpa	dete
.	Z	.

pa	Cc	pa
Imam	Vmr1s	imati
.	Z	.

Imam	Vmr1s	imati
i	Cc	i
praunU/	Qr	praunU/
.	Z	.

trI	Mlc	tri
•	X	•
trI	Mlc	tri
praunUci	Ncmpn	praunuk
.	Z	.

zatvorI	Ncmpn	zatvor
vrAta	Ncnpn	vrata
((XXX))	X	((xxx))
.	Z	.

((XXX))	X	((xxx))
.	Z	.

vI	Pp2-pn	vi
ste	Var2p	biti
mlAde	Agpfpny	mlad
devOjke	Ncfpn	devojka
kOje	Pipn	koji
ste	Var2p	biti
gOdište	Ncnsa	godište
.	Z	.

o	I	o
pomlAde	Vmr3p	pomladiti
ste	Var2p	biti
od	Sg	od
mOju	Ps1fsa	moj
dEcu	Ncnpa	dete
.	Z	.

jEsam	Var1s	biti
se	Px--sa	sebe
presvUkla	Vmp-sf	presvući
.	Z	.

nIsam	Var1s	biti
ni	Qo	ni
jA	Pp1-sn	ja
Ispranva	Npfsn	Ispranva
.	Z	.

a	Cc	a
sAd	Rgp	sad
pa/	X	pa/
pAmet	Ncfsn	pamet
znAm	Vmr1s	znati
ali	Cc	ali
sa	Si	sa
sElo	Ncnsa	selo
ne	Qz	ne
mOgu	Vmr1s	moći
.	Z	.

jedvA	Rgp	jedva
se	Px--sa	sebe
vlAčim	Vmr1s	vlačiti
ko	Pi3m-n	ko
god	Qo	god
glistA	Ncfsn	glista
.	Z	.

i	Cc	i
•	X	•
ne	Qz	ne
rAdim	Vmr1s	raditi
nIšta	Pi3n-a	ništa
aj	I	hajde
bOlje	Rgc	dobro
da	Cs	da
se	Px--sa	sebe
presvučEm	Vmr1s	presvući
.	Z	.

hm	I	hm
((laugh))	X	((laugh))
stUrim	Z	stUrim
pRnje	Ncfpn	prnja
danAšnjo	I	danAšnjo
hm	I	hm
sam	Var1s	biti
se	Px--sa	sebe
pokrIla	Vmp-sf	pokriti
.	Z	.

Ajde	I	hajde
kvo	Pr-nsn	kvo
Očete	Qr	Očete
da	Cs	da
vi	Pp2-pn	vi
prIčam	Vmr1s	pričati
.	Z	.

što	Cs	što
su	Var3p	biti
devOjke	Ncfpn	devojka
dOle	Rgp	dole
kod	Sg	kod
.	Z	.

jednA	Mlcfsn	jedan
bilA	Vcp-sf	biti
.	Z	.

zAjedno	Rgp	zajedno
.	Z	.

tAko	Rgp	tako
je	Var3s	biti
mI	Pp1-pn	ja
smo	Vcr1p	biti
se/	X	se/
mI	Pp1-pn	ja
smo	Var1p	biti
pričAle	Vmp-pf	pričati
dOsta	Rgp	dosta
ḱe	Var3s	hteti
drugo	Mlonsa	drugi
•	X	•
i	Cc	i
.	Z	.

pa	Cc	pa
svAšta	Pi3n-n	svašta
ni	Qo	ni
pi/	Px--sa	pi/
.	Z	.

sAmo	Rgp	samo
bIla	Vapf	biti
je	Var3s	biti
ovdE	Rgp	ovde
i	Cc	i
mOja	Ps1fsn	moj
etRva	Ncfsn	etrva
.	Z	.

pričAle	Vmp-pf	pričati
smo	Var1p	biti
i	Cc	i
smEšne	Agpfpay	smešan
prIče	Ncfpa	priča
i	Cc	i
((?))	X	((?))
•	X	•
i	Cc	i
što	Qo	što
s	Si	sa
je	Var3s	biti
redOvno	Rgp	redovno
svakodnEvno	Agpnsny	svakodnevan
i	Cc	i
.	Z	.

mOžda	Rgp	možda
sm/	Vmp-pm	sti
smo	Var1p	biti
dva	Mlc	dva
sAta	Ncmsg	sat
mi	Pp1-sd	ja
pričAle	Vmp-pf	pričati
.	Z	.

i	Cc	i
pEsme	Ncfpn	pesma
i	Cc	i
prIče	Ncfpn	priča
i	Cc	i
((?))	X	((?))
•	X	•
svE	Pi-nsn	sav
•	X	•
i	Cc	i
.	Z	.

ko	Pi3m-n	ko
vi	Pp2-pn	vi
interEsuje	Vmr3s	interesovati
el	Qq	jel
Oḱete	Cc	Oḱete
rAtne	Agpfpny	ratni
pEsme	Ncfpn	pesma
•	X	•
el	Qq	jel
ljUbavne	Agpfpny	ljubavni
•	X	•
jel	Qq	jel
.	Z	.

pa	Cc	pa
Običaji	Ncmpn	običaj
•	X	•
pa	Cc	pa
kakvI	Pi-mpn	kakav
su	Var3p	biti
•	X	•
pričAle	Vmp-pf	pričati
smo	Var1p	biti
mI	Pp1-pn	ja
sa	Sa	sa
dAne	Agpmpay	dan
.	Z	.

kakvO	Pi-nsn	kakav
je	Var3s	biti
Ono	Pd-nsn	onaj
sAd	Rgp	sad
se	Px--sa	sebe
promenIlo	Vmp-sn	promeniti
svE	Pi-nsn	sav
.	Z	.

nikOj	Pi3m-n	niko
nIkuga	Npfsn	nIkuga
ne	Qz	ne
pIta	Vmr3s	pitati
samo	Rgp	samo
dvOjca	Npmsg	dvOjac
kO	Pi3m-n	ko
se	Pxsa	sebe
vOle	Vmr3p	voleti
uzImaju	Vmr3p	uzimati
se	Px--sa	sebe
••	X	••
za	Sa	za
dva	Mlc	dva
mEsec	Ncmsan	mesec
i	Cc	i
doviǵEnja	Ncnsg	doviǵenje
ne	Qz	ne
poznAjem	Vmr1s	poznavati
te	Pp2-sa	ti
.	Z	.

pa	Cc	pa
mOj	Ps1msn	moj
unUk	Ncmsn	unuk
bIl	Vmp-sm	biti
čEtri	Mlc	četiri
gOdine	Ncfpn	godina
u	Sl	u
brAku	Ncmsl	brak
u	Sa	u
bEograd	Npmsan	Beograd
•	X	•
na	Sa	na
pAnčevački	Agpmsayn	pančevački
mOst	Ncmsan	most
.	Z	.

ali	Cc	ali
•••	X	•••
završIla	Vmp-sf	završiti
se	Pxsa	sebe
emIsija	Ncfsn	emisija
doviǵEnja	Ncmsn	doviǵenja
ne	Qz	ne
poznAjemo	Vmr1p	poznavati
se	Px--sd	sebe
•	X	•
ako	Cs	ako
su	Var3p	biti
regIstrovani	Appmpny	registrovati
.	Z	.

a	Cc	a
da	Cs	da
ti	Pp2-sd	ti
prIčam	Vmr1s	pričati
kakAv	Pi-msn	kakav
je	Var3s	biti
Običaj	Ncmsn	običaj
bIl	Vmp-sm	biti
kad	Cs	kad
sam	Var1s	biti
jA	Pp1-sn	ja
bilA	Vmp-sf	biti
•	X	•
evE	I	evo
ga	Pp3msa	on
mOj	Ps1msn	moj
dEčko	Ncmsn	dečko
.	Z	.

snImaj	Vmm2s	snimati
.	Z	.

On	Pp3msn	on
bIl	Vcp-sm	biti
u	Sa	u
Armiju	Ncfsa	armija
.	Z	.

ae/	Qr	ae/
kad	Cs	kad
je	Var3s	biti
otIšal	Ncmsn	otišal
u	Sa	u
Armiju	Ncfsa	armija
menE	Pp1-sa	ja
bilA	Vcp-sf	biti
četrnAesta	Mlofsn	četrnaesti
gOdina	Ncfsn	godina
.	Z	.

a	Cc	a
((?))	X	((?))
tƏg	Rgp	tako
imAlo	Vmp-sn	imati
drUge	Mlofpn	drugi
devOjke	Ncfpn	devojka
kOje	Pipn	koji
On	Pp3msn	on
ljUbio	Vmpm	ljubiti
•	X	•
hm	I	hm
.	Z	.

ah	I	ah
dok	Cs	dok
je	Var3s	biti
On	Pp3msn	on
bIl	Vmp-sm	biti
tri	Mlc	tri
gOdine	Ncfsg	godina
re/	Ncmsg	re
regrUtovan	Appmsnn	regrutovati
trI	Mlc	tri
gOdine	Ncfsg	godina
u	Sa	u
vOjsku	Ncfsa	vojska
moj/	Pi3n-n	moj/
vOjska	Ncfsn	vojska
vOjska	Ncfsn	vojska
.	Z	.

turIla	Vmp-sf	turiti
sam	Var1s	biti
zUbi	Ncmpn	zub
pa	Cc	pa
prevrskUjem	Qr	prevrskUjem
.	Z	.

nEmam	Vmr1s	imati
nijEdan	Agpmsann	nijedan
zUb	Ncmsan	zub
.	Z	.

((laugh))	X	((laugh))
••	X	••
i	Cc	i
dokle	Rgp	dokle
On	Pp3msn	on
bIl	Vmp-sm	biti
•	X	•
dve	Mlcf	dva
gOdine	Ncfsg	godina
ps/	Pipn	ps/
pUne	Vmr3p	puniti
nE	Qz	ne
dodIl	Vmp-sm	doći
na	Sa	na
Osustvo	Npmsan	Osustvo
.	Z	.

dokle	Rgp	dokle
On	Pp3msn	on
dOšal	Vmp-sm	doći
na	Sa	na
Osustvo	Npmsan	Osustvo
tE	Cc	te
devOjke	Ncfpn	devojka
otIšle	Vmp-pf	otići
•	X	•
odnEl	Vmp-sm	odneti
i	Cc	i
vEtar	Ncmsan	vetar
((laugh))	X	((laugh))
.	Z	.

a	Cc	a
mI	Pp1-pn	ja
smo	Var1p	biti
mlAde	Vma3s	mladeti
•	X	•
pionIri	Ncmpn	pionir
•	X	•
šesnAest	Mlc	šesnaest
gOdine	Ncfpn	godina
•	X	•
ma	I	ma
•	X	•
bIla	Vcp-sf	biti
svAdba	Ncfsn	svadba
bIlo	Vmp-sn	biti
prAznik	Ncmsn	praznik
ne	Qz	ne
obrAḱa	Pi3n-n	obrAḱa
pAžnju	Ncfsa	pažnja
ni	Qo	ni
On	Pp3msn	on
na	Sa	na
mEn	Pp1-sd	ja
ni	Cc	ni
jA	Pp1-sn	ja
na	Sa	na
njEg	Pp3msa	on
.	Z	.

i	Cc	i
((?))	X	((?))
•	X	•
səs	Si	sa
njegOvi	Ps3mpn	njegov
se	Px--sa	sebe
dopisUje	Vmr3s	dopisivati
.	Z	.

i	Cc	i
mAlo	Rgp	malo
mu	Pp3msd	on
tEtka	Ncfsn	tetka
onAm	Rgp	onamo
.	Z	.

ja	Pp1-sn	ja
səm	Var1s	biti
mIsla	Vmp-sf	misti
onAj	Pd-fsn	onaj
komšIlak	Ncmsan	komšilak
onA	Pp3fsn	on
.	Z	.

a	Cc	a
tEtka	Ncfsn	tetka
znAje	Vmr3s	znati
kakvO	Pi-nsn	kakav
Oni	Pp3mpn	oni
ovdE	Rgp	ovde
prIčaju	Vmr3p	pričati
sas	Si	sa
njegOvu	Ps3fsa	njegov
mAter	Ncfsa	mater
sas	Si	sa
Oca	Npmsg	otac
poprIčaju	Vmr3p	popričati
.	Z	.

a	Cc	a
otƏk	Ncmsn	otək
bilA	Vapf	biti
rAdna	Agpfsny	radni
zAdruga	Ncfsn	zadruga
mI	Pp1-pn	ja
smo	Var1p	biti
bilI	Vmp-pm	biti
u	Sa	u
rAdnu	Agpfsay	radni
zAdrugu	Ncfsa	zadruga
.	Z	.

pa	Cc	pa
zAjedno	Rgp	zajedno
smo	Var1p	biti
bIli	Vmp-pm	biti
u	Sa	u
ednU	Npfsa	Edna
brigAdu	Ncfsa	brigada
zAjedno	Rgp	zajedno
smo	Var1p	biti
radEli	Vmp-pm	radeti
.	Z	.

poznAju	Vmr3p	poznavati
me	Pp1-sa	ja
njegOvi	Ps3mpn	njegov
rodItelji	Ncmpn	roditelj
ako	Cs	ako
sam	Var1s	biti
jA	Pp1-sn	ja
detE	Ncnsn	dete
.	Z	.

nEsam	Var1s	biti
punolEtna	Agpfsny	punoletan
••	X	••
ali	Cc	ali
onI	Pp3mpn	oni
glEdaju	Vmr3p	gledati
.	Z	.

štu	Npmsd	št
me	Pp1-sa	ja
brIga	Vmr3s	brigati
dal	Qq	dal
neḱi	Pi-msn	neki
glEda	Vmr3s	gledati
il	Cc	ili
ne	Qz	ne
glEda	Vmr3s	gledati
.	Z	.

ma	I	ma
kudE	Rgp	kuda
Idem	Vmr1s	ići
jA	Pp1-sn	ja
si	Px--sd	sebe
pEvam	Vmr1s	pevati
ne	Qz	ne
sekIram	Vmr1s	sekirati
se	Pxsa	sebe
od	Sg	od
nIkoga	Pd-mpa	niko
nIšta	Pi3n-a	ništa
.	Z	.

ne	Qz	ne
vrEǵam	Vmr1s	vreǵati
nIkoga	Vmp-sf	nikoti
.	Z	.

pEvam	Vmr1s	pevati
pEsme	Ncfpa	pesma
.	Z	.

e	I	e
((?))	X	((?))
imAlo	Vmp-sn	imati
ednO	Mlc	jedno
tEtka	Agpfsny	tetki
vEra	Ncfsn	vera
.	Z	.

dE	Rgp	gde
sEdni	Vcr2s	sesti
ti	Pp2-sn	ti
pa	Cc	pa
pEvaj	Vmm2s	pevati
a	Cc	a
mI	Pp1-pn	ja
če	Var3s	hteti
i	Cc	i
tvOj	Vmm2s	tvoti
rEd	Ncmsan	red
dotEramo	Vmr1p	doterati
.	Z	.

((laugh))	X	((laugh))
••	X	••
i	Cc	i
jA	Pp1-sn	ja
pEvam	Vmr1s	pevati
.	Z	.

i	Cc	i
((?))	X	((?))
imAla	Vmp-sf	imati
sam	Var1s	biti
glAs	Ncmsan	glas
znAla	Vmp-sf	znati
sam	Var1s	biti
pEsmice	Ncfpn	pesmica
.	Z	.

i	Cc	i
•	X	•
onI	Pp3mpn	oni
se	Px--sa	sebe
dopisuvAli	Vmp-pm	dopisuvati
•	X	•
Odoše	Vma3p	otići
svE	Pi-nsn	sav
devOjke	Ncfpn	devojka
ovOj	Pd-nsn	ovaj
za/	Vmr3s	za/ti
da	Cs	da
pAzimo	Vmr1p	paziti
da	Cs	da
ne	Qz	ne
otIde	Vma3s	otići
.	Z	.

i	Cc	i
•	X	•
njegOvi	Ps3mpn	njegov
vršnjAci	Ncmpn	vršnjak
kojI	Pipn	koji
su	Var3p	biti
bIli	Vapm	biti
na	Sl	na
dvE	Ncmsl	dv
gOdine	Ncfsg	godina
regi/	Npmsn	regi/
regrUtovani	Appmpny	regrutovati
Oni	Pp3mpn	oni
se	Px--sa	sebe
puštIli	Pi3n-n	puštIli
jEseni	Ncfpn	jesen
.	Z	.

i	Cc	i
počInja	Agpfsny	počinji
prIča	Ncfsn	priča
kOji	Pisn	koji
ḱe	Var3s	hteti
kojU	Pisa	koji
